Player,Age,Pos,GP,G,A,S,PS,BLK,-9999
Joel Hofer,23,G,30,0,1,1,5.6,0,hoferjo01
Mackenzie MacEachern,29,LW,8,0,1,4,0.0,2,maceama01
Calle Rosén,29,D,6,0,1,5,0.1,7,rosenca01
Robert Bortuzzo,34,D,4,0,0,1,0.2,3,borturo01
Zach Dean,21,C,9,0,0,10,-0.3,5,deanza01
Adam Gaudette,27,C,2,0,0,0,0.0,1,gaudead01
Hugh McGing,25,LW,5,0,0,4,-0.2,3,mcginhu01
Kirill Kaprizov,26,LW,75,46,50,277,11.4,38,kapriki01
Matt Boldy,22,LW,75,29,40,227,7.3,32,boldyma01
Joel Eriksson Ek,27,C,77,30,34,267,7.1,55,eriksjo02
Mats Zuccarello,36,LW,69,12,51,173,4.9,50,zuccama01
Brock Faber,21,D,82,8,39,136,7.0,150,faberbr01
Ryan Hartman,29,RW,74,21,24,173,4.5,65,hartmry01
Marco Rossi,22,C,82,21,19,167,3.5,37,rossima01
Marcus Johansson,33,C,78,11,19,112,1.4,29,johanma03
Jonas Brodin,30,D,62,7,20,117,6.1,142,brodijo01
Jacob Middleton,28,D,80,7,18,85,3.3,161,middlja01
Marcus Foligno,32,LW,55,10,12,56,2.2,40,foligma01
Pat Maroon,35,LW,49,4,12,54,0.5,16,maroopa01
Frédérick Gaudreau,30,C,67,5,10,105,-0.4,47,gaudrfr01
Connor Dewar,24,C,57,10,4,57,1.1,27,dewarco01
Zach Bogosian,33,D,61,3,11,77,3.4,81,bogosza01
Jonathon Merrill,31,D,65,4,7,42,2.2,57,merrijo01
Alex Goligoski,38,D,36,0,10,32,0.8,41,goligal01
Vinni Lettieri,28,C,46,5,4,47,0.4,27,lettivi01
Brandon Duhaime,26,RW,62,4,4,68,-0.2,29,duhaibr01
Declan Chisholm,24,D,29,3,5,29,0.9,36,chishde01
Dakota Mermis,30,D,47,3,5,42,1.5,59,mermida01
Jake Lucchini,28,F,40,2,3,22,-0.1,14,lucchja01
Calen Addison,23,D,12,0,5,18,0.4,4,addisca01
Jared Spurgeon,34,D,16,0,5,21,1.2,29,spurgja01
Marat Khusnutdinov,21,C,16,1,3,6,0.0,9,khusnma01
Mason Shaw,25,C,20,1,2,21,0.1,6,shawma01
Liam Ohgren,20,LW,4,1,1,8,0.2,0,ohgreli01
Adam Beckman,22,LW,11,0,2,10,0.0,3,beckmad01
Nic Petan,28,C,6,0,2,11,0.0,1,petanni01
Marc-André Fleury,39,G,40,0,1,0,5.2,0,fleurma01
Filip Gustavsson,25,G,45,0,1,0,6.9,0,gustafi01
Daemon Hunt,21,D,12,0,1,7,0.1,17,huntda01
Jujhar Khaira,29,LW,1,0,0,1,0.0,1,khairju01
Adam Raška,22,RW,5,0,0,0,-0.1,1,raskaad01
Samuel Walker,24,C,4,0,0,3,-0.2,1,walkesa01
Jesper Wallstedt,21,G,3,0,0,0,0.4,0,wallsje01
J.T. Miller,30,C,81,37,66,194,11.7,61,millejt01
Quinn Hughes,24,D,82,17,75,199,14.4,55,hughequ01
Elias Pettersson,25,C,82,34,55,207,9.6,68,petteel01
Brock Boeser,26,RW,81,40,33,204,9.0,29,boesebr01
Filip Hronek,26,D,81,5,43,148,8.6,87,hronefi01
Conor Garland,27,RW,82,20,27,200,5.0,34,garlaco01
Nils Höglander,23,LW,80,24,12,120,4.8,19,hoglani01
Dakota Joshua,27,C,63,18,14,84,3.9,40,joshuda01
Ilya Mikheyev,29,F,78,11,20,147,2.1,20,mikheil01
Pius Suter,27,F,67,14,15,105,2.9,23,suterpi01
Tyler Myers,33,D,77,5,24,93,5.3,136,myersty01
Teddy Blueger,29,C,68,6,22,97,1.6,43,bluegte01
Sam Lafferty,28,C,79,13,11,78,2.0,32,laffesa01
Andrei Kuzmenko,27,F,43,8,13,63,1.6,10,kuzmean01
Nikita Zadorov,28,D,54,5,9,61,2.8,49,zadorni01
Elias Lindholm,29,C,26,6,6,42,0.7,21,lindhel01
Ian Cole,34,D,78,2,9,61,2.9,166,coleia01
Phillip Di Giuseppe,30,LW,51,5,5,52,0.3,23,digiuph01
Anthony Beauvillier,26,LW,22,2,6,37,0.7,17,beauvan01
Nils Åman,23,C,43,3,4,28,0.1,22,amanni01
Noah Juulsen,26,D,54,1,6,30,1.2,85,juulsno01
Carson Soucy,29,D,40,2,4,29,1.9,64,soucyca01
Vasily Podkolzin,22,RW,19,0,2,20,-0.3,3,podkova01
Jack Studnicka,24,C,5,1,0,4,0.2,1,studnja01
Thatcher Demko,28,G,51,0,1,0,10.7,0,demkoth01
Casey DeSmith,32,G,29,0,1,0,3.7,0,desmica01
Mark Friedman,28,D,23,0,1,16,0.6,35,friedma01
Arshdeep Bains,23,F,8,0,0,4,-0.3,2,bainsar01
Akito Hirose,24,D,3,0,0,0,0.1,5,hirosak01
Linus Karlsson,24,C,4,0,0,4,-0.1,2,karlsli01
Cole McWard,22,D,1,0,0,1,0.0,0,mcwarco01
Arturs Silovs,22,G,4,0,0,0,0.3,0,silovar01
